AUDITORIA DE PADRAO - 131 carrosseis
==============================================================================
CTA   = slide 09: accent unico deve ser CORAL, botao sem emoji
FINAL = slide 10: conteudo fixo, comparado com a referencia atual
==============================================================================

POST                                                   N  CTA                          FINAL
------------------------------------------------------------------------------
2026-05-12_varios-vinculos-nao-te-torna-disponivel    10  ok                           DIFERE da referencia (12)
2026-05-13_cuidado-relacional-e-marcador-etico        10  ok                           DIFERE da referencia (12)
2026-05-14_nm-ativa-traumas                           10  ok                           DIFERE da referencia (12)
2026-05-15_apego-evitativo-idealizacao-liberdade      10  ok                           DIFERE da referencia (12)
2026-05-16_ciume-e-medo-ou-necessidade                10  ok                           DIFERE da referencia (12)
2026-05-17_o-ciume-pode-ser-professor                 10  ok                           DIFERE da referencia (12)
2026-05-18_comparacao-veneno-invisivel                10  ok                           ok
2026-05-19_nm-vira-compulsao-emocional                10  ok                           ok
2026-05-20_aceitei-por-medo                           10  ok                           ok
2026-05-21_acordos-estruturam-liberdade               10  ok                           ok
2026-05-22_acordos-nao-substituem-cuidado             10  accent LILAS                 ok
2026-05-23_amor-ou-obediencia                         10  ok                           ok
2026-05-24_ausencia-de-regras-presenca                10  ok                           ok
2026-05-25_cabeca-aceita-corpo-reage                  10  ok                           ok
2026-05-26_ciume-nao-e-prova-de-amor                  10  ok                           ok
2026-05-27_conforto-e-cerceamento                     10  accent LILAS                 ok
2026-05-28_desconforto-nao-e-sofrimento               10  ok                           ok
2026-05-29_escolha-o-seu-dificil                      10  ok                           ok
2026-05-30_escolha-ou-medo                            10  ok                           ok
2026-05-31_escolhendo-ou-adaptando                    10  ok                           ok
2026-06-01_shakira-monogamia                          10  ok                           ok
2026-06-02_liberdade-ou-fuga                          10  ok                           ok
2026-06-03_liberdade-te-assusta                       10  ok                           ok
2026-06-04_liberdade-vira-sobrecarga                  10  ok                           ok
2026-06-05_limites-nao-sao-controle                   10  ok                           ok
2026-06-06_machismo-na-nm                             10  accent LILAS                 ok
2026-06-07_nada-garante-que-outro-fique               10  ok                           ok
2026-06-08_novos-discursos-velhas-praticas            10  ok                           ok
2026-06-09_pluralidade-nao-elimina-solidao            10  ok                           ok
2026-06-10_quem-sou-sem-exclusividade                 10  ok                           ok
2026-06-11_reconhecer-limites-saude-mental            10  ok                           ok
2026-06-12_relacoes-seguras-sistema-nervoso           10  ok                           ok
2026-06-13_seguranca-emocional-na-nm                  10  ok                           ok
2026-06-14_silencio-e-controle                        10  ok                           ok
2026-06-15_traicao-na-nm                              10  ok                           ok
2026-06-16_transparencia-sem-despejo                  10  ok                           ok
2026-06-17_dados-2-milhoes                            10  ok                           ok
2026-06-18_monogamia-posse                            10  ok                           ok
2026-06-19_mitos-nm                                   10  ok                           ok
2026-06-20_sociedade-ja-nao-mono                      10  ok                           ok
2026-06-21_compersao                                  10  ok                           ok
2026-06-22_fechar-a-relacao                           10  ok                           ok
2026-06-23_teoria-x-pratica                           10  ok                           ok
2026-06-24_ninguem-100-nao-mono                       10  ok                           ok
2026-06-25_controle-disfarcado                         9  ok                           so 9 slides (sem final fixo?)
2026-06-26_glossario-termos                           10  ok                           ok
2026-06-27_autonomia-maturidade-fuga                  10  ok                           ok
2026-06-28_nm-machista                                10  ok                           ok
2026-06-29_primeiros-passos-nm                        10  ok                           ok
2026-06-30_ciume-nao-some                             10  ok                           ok
2026-06-30_owc-casais-fim-de-semana                   10  ok                           ok
2026-07-01_comunicacao-nm                             10  ok                           ok
2026-07-01_poliamor-no-brasil                         10  ok                           ok
2026-07-02_recursos-internos-nm                       10  ok                           ok
